2012年家户号,2011-2012全部家庭纯收入,同灶吃饭成员的总人数
100453,40000,3
105179,2200,4
108640,8750,2
110003,100000,3
110006,77180,3
110009,98200,7
110011,76000,5
110013,116000,3
110015,30000,3
110020,92000,6
110021,64800,2
110022,130000,4
110023,127640,2
110024,72000,2
110026,123116,4
110027,69632,2
110030,72000,2
110031,28000,3
110033,115060,5
110035,58800,3
110038,56000,4
110040,42628,4
110041,27240,3
110042,84200,3
110043,68400,7
110050,84800,3
110051,230080,4
110052,162068,5
110057,81800,2
110060,224400,3
110061,34272,1
110062,57900,2
110064,204720,1
110066,59046,2
110067,66000,1
110069,66264,3
110070,65040,2
110071,63798,3
110073,30000,1
110074,60000,2
110076,28132,1
110077,69480,3
110078,138124,6
110079,15000,3
110081,93000,4
110083,66240,5
110084,25200,2
110092,51160,4
110102,2400,1
110104,41000,2
110105,380000,2
110107,91400,3
110108,191800,4
110111,104400,3
110113,52800,4
110116,86400,2
110119,30996,1
110120,96160,4
110121,30000,2
110123,78000,2
110124,50000,3
110125,38400,3
110126,129120,3
110129,120000,2
110132,45600,1
110142,78000,1
110148,28800,1
110150,361800,2
110160,128800,3
110165,176560,3
110236,85000,2
113415,35567,2
114900,62400,2
115650,86200,3
117321,129200,3
118291,51800,3
118499,49000,2
119227,107220,3
119374,13000,3
120004,48600,2
120007,58640,3
120008,159040,3
120009,86880,4
120012,272650,3
120013,196400,5
120018,40000,2
120020,47800,3
120022,214000,4
120024,48224,2
120026,82080,3
120027,72000,2
120029,40000,3
120031,106440,3
120032,64800,3
120033,47400,3
120034,43600,3
120036,44400,2
120038,57600,3
120039,128200,4
120040,123240,4
120046,69200,4
120050,190000,3
120051,30250,3
120052,70600,4
120056,76400,3
120057,126000,3
120058,28800,3
120063,109000,3
120065,26960,2
120068,160600,1
120071,51160,3
120072,60000,4
120073,3200,2
120074,5900,2
120075,16000,2
120076,59000,5
120077,27000,3
120081,56525,5
120082,18400,6
120086,166000,5
120087,16400,3
120088,25800,6
120090,12300,4
120091,84000,3
120092,66000,4
120093,42580,6
120094,21000,3
120096,68900,6
120097,48450,7
120099,5000,1
120100,31500,6
120101,50200,4
120102,52100,5
120103,22000,6
120104,10520,4
120107,94968,3
120108,40400,3
120109,39640,3
120110,64000,2
120111,34360,2
120113,102100,3
120125,40800,4
120126,22500,2
120129,61000,3
120130,74000,3
120131,33000,3
120137,200,1
122426,14800,3
124347,47400,1
125494,500,1
130001,35600,5
130002,23370,3
130004,52050,3
130007,52150,4
130008,11120,2
130009,97200,5
130010,28450,5
130011,2775,3
130012,79300,5
130013,3600,4
130015,21300,4
130016,42315,6
130017,77700,5
130019,81355,5
130022,5700,7
130023,28800,3
130024,14300,6
130027,22380,6
130028,61110,5
130029,53600,6
130030,1500,4
130032,40350,6
130034,22150,6
130036,54200,9
130037,102600,9
130040,49900,5
