2022年家庭样本编码,CFPS2012家户号,家庭成员人数,过去12个月总收入（元）
100051,不适用,3,150000
100125,110147,1,1800000
100160,不适用,3,250000
100435,不适用,4,85000
100551,不适用,4,200000
100569,130299,1,1380
100724,不适用,4,50000
100765,不适用,4,95000
100782,130517,3,40000
100810,不适用,4,100000
100879,不适用,3,80000
101023,130815,4,65000
101129,不适用,5,73000
101130,130897,3,100000
101274,不适用,3,100000
101797,140668,4,100000
101802,不适用,5,120000
102448,不适用,2,200000
102571,不适用,5,41000
102814,210761,1,180000
103465,不适用,4,120000
103614,211775,1,0
103766,211934,3,30000
103952,不适用,2,500000
104054,不适用,2,1000000
104256,不适用,2,200000
104521,不适用,1,28000
105727,311299,3,226000
106335,312144,5,400000
106601,106601,1,5000
107435,不适用,3,150000
107643,不适用,4,53000
107684,360172,4,60000
107824,不适用,4,100000
107911,370089,2,16000
108037,360160,3,200000
108165,360278,2,75000
108211,不适用,7,80000
108244,不适用,5,70000
108476,不适用,4,200000
108598,不适用,2,100000
108628,410142,3,40000
108998,不适用,7,65000
109121,410735,2,50000
109137,不适用,4,156000
109216,410134,6,70000
109336,410969,3,50000
109372,411010,4,70000
109418,不适用,4,60000
109508,不适用,4,160000
109531,不适用,7,200000
109606,不适用,4,205000
109791,不适用,3,50000
110006,110006,5,190000
110009,110009,5,50000
110020,110020,1,60000
110023,110023,4,70000
110024,110024,2,90000
110026,110026,4,370000
110027,110027,2,132400
110030,110030,1,84000
110038,110038,3,120000
110047,110047,3,90000
110052,110052,7,250000
110060,110060,4,204000
110067,110067,1,230000
110069,110069,3,168000
110070,110070,2,128000
110071,110071,2,132000
110072,110072,2,156000
110073,110073,2,106800
110077,110077,3,100000
110078,110078,3,150000
110079,110079,3,20000
110083,110083,5,170000
110084,110084,2,87600
110092,110092,2,60000
110106,410935,2,100000
110107,110107,3,179600
110108,110108,5,450000
110111,110111,3,200000
110113,110113,2,120000
110114,110114,3,156000
110119,110119,1,60000
110120,110120,4,50400
110123,110123,2,156000
110124,110124,3,280000
110125,110125,2,144460
110126,110126,2,114000
110147,110147,5,1180000
110157,110157,3,500000
110165,110165,3,103500
110210,411004,6,80000
110324,411110,1,70000
110339,不适用,3,150000
110494,不适用,4,100000
110519,不适用,3,30000
110682,411542,3,120000
110689,不适用,4,90000
110717,不适用,4,60000
110730,411588,4,300000
110754,不适用,5,80000
110823,373274,2,80000
110900,411744,6,150000
110901,不适用,6,80000
111013,不适用,1,50000
111203,不适用,2,800000
111272,不适用,4,24000
111278,440519,1,75000
111308,不适用,5,70000
111535,不适用,2,400000
111732,430442,1,75000
111752,430465,4,60000
111790,430509,4,75000
111820,430545,2,80000
111921,430712,4,350000
111999,441569,1,50000
112065,441650,1,60000
112165,不适用,10,100000
112181,441814,1,50000
112186,441820,1,71500
112537,450246,6,68400
112640,不适用,4,200000
113012,不适用,2,200000
113205,不适用,6,30000
113526,441893,4,80000
113604,不适用,5,300000
113661,520044,1,100000
113798,不适用,6,100000
113956,不适用,1,50000
114015,不适用,4,70000
114130,不适用,4,30000
114386,不适用,3,150000
114403,530360,1,100000
114536,不适用,4,55000
114614,不适用,4,80000
114900,114900,4,60000
115057,不适用,7,150000
115276,不适用,4,100000
115309,620559,1,72000
115395,不适用,9,150000
115565,不适用,3,400000
115650,不适用,5,200000
115788,115788,4,120000
115905,621273,4,40000
115961,不适用,3,100000
115966,621341,4,57600
115986,不适用,5,96000
116140,不适用,6,6000
116178,不适用,4,100000
116553,610241,1,60000
116587,不适用,5,150000
116939,120096,4,90000
117058,不适用,6,50000
117163,不适用,4,50000
117324,130417,4,80000
117517,不适用,4,75000
117697,不适用,6,25000
117819,140001,1,50000
117893,140088,1,100000
118067,621356,2,54000
118221,140542,2,3000
118404,不适用,4,120000
118457,140877,1,30000
118499,118499,2,132800
119227,119227,3,180000
119374,119374,2,48000
119455,210778,2,150000
120001,120001,4,45000
120004,120004,2,110000
120007,120007,3,130000
120008,120008,2,140000
120009,120009,3,250000
120012,120012,3,180000
120013,120013,2,72000
120016,120016,6,150000
120018,120018,2,160000
120020,120020,2,200000
120023,120023,4,20000
120024,120024,2,100000
120026,120026,2,120000
120029,120029,3,130000
120031,120031,2,100000
120033,120033,4,120000
120034,120034,2,120000
120038,120038,3,180000
120039,120039,4,150000
120046,120046,2,63000
120050,120050,2,240000
120056,120056,2,140000
120057,120057,5,500000
120058,120058,3,170000
120063,120063,4,370000
120071,120071,3,120000
120072,120072,5,160000
120073,120073,2,26100
120074,120074,2,20000
120075,120075,2,35000
120076,120076,5,100000
120077,120077,2,80000
120081,120081,4,30000
120082,120082,6,200000
120086,120086,4,200000
120089,120089,2,68000
120090,120090,2,56400
120093,120093,6,100000
120094,120094,2,30600
120095,120095,4,8000
120096,120096,2,63000
120097,120097,1,20000
120100,120100,8,150000
120101,120101,2,20000
120102,120102,6,70000
120103,120103,6,65000
120104,120104,3,35000
120108,120108,3,140000
120109,120109,2,80000
120110,120110,2,80000
120111,120111,2,100500
120112,130502,2,120000
120113,120113,3,600000
120125,120125,1,30000
120129,120129,2,100000
120162,不适用,3,80000
120269,130645,2,20000
120448,不适用,2,100000
120569,不适用,7,86000
120977,不适用,2,120000
121072,不适用,3,200000
121095,不适用,3,150000
121265,不适用,4,250000
121403,230622,3,70000
122376,不适用,3,180000
122426,122426,2,60000
122705,不适用,3,60000
122810,311956,4,120000
123187,不适用,2,60000
123274,不适用,1,80000
123713,不适用,2,80000
123731,不适用,3,150000
123758,不适用,7,480000
123804,不适用,3,150000
123844,不适用,2,6100
124034,340314,2,35000
124079,不适用,4,120000
124277,不适用,6,180000
125793,不适用,4,120000
125984,不适用,4,40000
126053,不适用,3,0
126081,411022,1,10000
126105,不适用,2,120000
126209,不适用,1,85000
126250,不适用,4,50000
126519,330044,3,100000
126729,不适用,4,300000
126919,不适用,6,80000
127089,340318,4,100000
127148,不适用,2,70000
127185,不适用,6,200000
127268,350105,4,110000
127689,不适用,3,170400
127723,不适用,3,150000
127853,440512,2,13000
127889,不适用,5,80000
127918,不适用,3,60000
128367,不适用,4,75000
128442,370707,5,240000
128526,128526,1,100000
128750,不适用,7,170000
128909,不适用,3,65000
129301,500166,1,40000
129613,510237,2,80000
129682,不适用,8,20000
129938,不适用,5,100000
130002,130002,2,45000
130004,130004,3,60000
130005,130005,3,50000
130006,130006,5,10000
130007,130007,3,4500
130008,130008,5,100000
130011,130011,6,100000
130012,130012,2,1600
130013,130013,4,60000
130016,130016,2,10000
130017,130017,6,100000
130019,130019,5,23500
130020,130020,4,5000
130022,130022,6,17000
130023,130023,2,60000
130027,130027,6,15000
130028,130028,6,75000
130030,130030,7,150000
130031,不适用,2,200000
130032,130032,6,80000
130034,130034,6,170000
130036,130036,6,70000
130037,130037,7,203000
130039,130039,3,15000
130042,130042,6,80000
130045,130045,3,50000
130046,130046,4,20000
130049,130049,3,50000
130051,130051,5,90000
130055,130055,4,65000
130056,130056,3,150000
130057,130057,6,40000
130059,130059,5,60000
130060,130060,3,60000
130062,130062,4,70000
130063,130063,6,90000
130064,130064,2,10000
130065,130065,6,20000
130066,130066,6,40000
130067,130067,4,20000
130068,130068,3,16000
130070,130070,6,80000
130072,130072,4,40000
130073,130073,7,100000
130074,130074,4,23200
130075,130075,6,30000
130077,130077,7,30000
130078,130078,5,50000
130079,130079,2,4000
130080,130080,3,120000
130082,130082,2,8000
130086,130086,4,135000
130088,130088,5,60000
130093,130093,2,36000
130095,130095,3,3000
130098,130098,3,80000
130101,130101,4,70000
130102,130102,3,16000
130103,130103,6,65000
130104,130104,6,50000
130105,130105,2,38000
130106,130106,2,5236
130109,130109,5,5000
130114,130114,2,108000
130115,130115,2,240000
130131,130131,3,300000
130133,130133,3,135000
130134,130134,5,100000
130137,130137,1,51600
130140,130140,3,145000
130141,130141,2,154000
130142,130142,6,100000
130147,130147,3,50000
130148,130148,2,22100
130149,130149,5,150000
130151,130151,5,100000
130152,130152,2,60200
130153,130153,2,46000
130154,130154,5,123420
130155,130155,2,25800
130158,130158,4,102000
130159,130159,3,66200
130166,130166,7,10000
130167,130167,6,140000
130172,130172,5,90000
130173,130173,4,148400
130175,130175,8,150000
130179,130179,2,70000
130188,130188,1,48000
130190,130190,2,60000
130193,130193,3,120000
130197,130197,3,120000
130199,130199,2,75600
130201,130201,2,55000
130204,130204,4,120000
130205,130205,4,600
130206,130206,4,75000
130207,130207,6,72000
130209,130209,6,70000
130210,130210,6,300000
130211,130211,4,93000
130214,130214,5,75000
130215,130215,2,67200
130216,130216,3,102000
130217,130217,3,80000
130218,130218,2,80000
130220,130220,6,120000
130223,130223,8,60000
130224,130224,2,50000
130226,130226,4,20000
130227,130227,5,120000
130228,130228,5,76800
130231,130231,6,120000
130234,130234,2,90000
130235,130235,5,359400
130250,130250,3,195000
130260,130260,2,31200
130261,130261,2,67200
130268,130268,2,50000
130272,130272,2,20000
130275,130275,5,60000
130277,130277,3,70000
130278,130278,1,9138
130279,130279,1,15000
130280,130280,5,160000
130281,130281,2,20000
130282,130282,2,42196
130283,130283,2,75000
130285,130285,2,8000
130288,130288,3,50000
130292,130292,3,20000
130293,130293,5,60000
130294,130294,6,90600
130295,130295,4,90000
130297,130297,3,90000
130298,130298,3,60000
130299,130299,4,40000
130301,130301,6,63000
130302,130302,7,120000
130306,130306,4,50000
130307,130307,5,60000
